Id,Sex,Sex Code,State,State Code,Year,Year Code,Ten-Year Age Groups,Ten-Year Age Groups Code,% of Total Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,State_Age_Combo,Year_dt,temp_sensor_readout,qc_flag_batch_3,legacy_index_offset,adjusted_pop_trend,confidence_spread_metric,Underlying_Cause,Contributing_Cause,Manner_of_Death,temporal_alignment_proxy,Target
3971,F,,Missouri,-63.432810591536054,1989.1243260702704,,15-24 years,15-24,0.0797377299645494,-2146354.4615373546,,-23948.950020844342,,-483.7431980392563,Missouri_15-24 years,NULL_TIMESTAMP,-1.6241172653082088,0.6097020575568238,40,-2134682.9359067045,,2224,-0.0791662521995035,3,sync,-30628.990927079107
3972,F,F,Missouri,29.0,2015.0,2015.0,25-34 years,25-34,0.0,403536.0,,79.06,97.38,4.68,Missouri_25-34 years,1970-01-01 00:00:00.000002015,0.3103715105800437,-0.5640462379621345,6,406562.52,1.231722742221098,9113,0.0172195156321686,3,pending,356.0
3973,F,F,Missouri,29.0,,,,35-44,0.0,368356.0,,147.77,173.66,6.61,Missouri_35-44 years,,0.1576735419948227,0.3929619434665886,22,,1.175204710022332,6855,-0.0642149951216198,4,async,
3974,F,F,Missouri,29.0,2015.0,2015.0,45-54 years,45-54,0.0,408034.0,381.34,362.39,400.29,9.67,Missouri_45-54 years,1970-01-01 00:00:00.000002015,-1.4059101061931691,-0.0467460667595031,-27,411094.255,1.1045834598084938,8165,-0.1229209140399031,2,async,1556.0
3975,F,F,Missouri,29.0,2015.0,2015.0,55-64 years,55-64,0.01,416345.0,778.44,751.64,,13.67,Missouri_55-64 years,1970-01-01 00:00:00.000002015,2.171303109458006,-0.6901463910415733,-31,419467.5875,,3194,-0.0090061175113397,1,async,3241.0
3976,F,,Missouri,29.0,2015.0,2015.0,65-74 years,65-74,0.01,289140.0,,1603.24,,23.89,Missouri_65-74 years,1970-01-01 00:00:00.000002015,0.6089712048882499,-0.0559696030948887,6,291308.55000000005,,7746,0.0322697985509341,2,sync,
3977,F,F,Missouri,29.0,2015.0,,,75-84,0.02,162025.0,4433.27,4330.74,,52.31,Missouri_75-84 years,1970-01-01 00:00:00.000002015,-0.0620511707060548,-0.7616165515384749,5,163240.1875,,4075,0.0399794785115335,2,pending,7183.0
3978,F,F,Missouri,29.0,2015.0,2015.0,,85+,0.03,err_143,13406.64,13159.07,13654.2,126.31,Missouri_85+ years,NULL_TIMESTAMP,-1.0227325629497477,-0.5694189455934439,31,,1.0376265191993053,4607,0.1048061924125441,1,async,11266.0
3979,F,F,,29.0,2016.0,,< 1 year,1,0.0,36275.0,545.83,469.8,621.86,38.79,Missouri_< 1 year,1970-01-01 00:00:00.000002016,-0.3994608839046652,-0.6627671448256703,-15,36565.2,1.3236696466581523,2222,0.0074262574364052,1,pending,198.0
3980,F,F,Missouri,29.0,2016.0,2016.0,1-4 years,1-4,0.0,146290.0,23.93,16.66,,4.04,Missouri_1-4 years,1970-01-01 00:00:00.000002016,-0.92063211352855,0.2443885992255844,13,147460.32,,4810,-0.0588866415409132,3,sync,35.0
3981,F,F,Missouri,29.0,2016.0,2016.0,5-14 years,5-14,0.0,377947.0,11.38,8.23,15.33,1.74,Missouri_5-14 years,1970-01-01 00:00:00.000002016,0.217455775188949,0.7130677218189482,-11,380970.576,1.8626974483596597,2518,0.1038297202489666,3,pending,
3982,F,F,Missouri,29.0,2016.0,2016.0,,15-24,0.0,err_291,,43.71,57.7,3.57,Missouri_15-24 years,1970-01-01 00:00:00.000002016,1.3070833679118212,-0.5978319577152242,-23,,1.3200640585678334,8637,-0.1355142063412193,3,async,
3983,F,F,Missouri,29.0,2016.0,2016.0,25-34 years,25-34,0.0,405642.0,,87.07,,4.88,Missouri_25-34 years,1970-01-01 00:00:00.000002016,-0.3991816731944897,0.3243067974288323,2,408887.136,,9467,-0.0131088227759994,2,pending,392.0
3984,F,F,,121.43281059153604,,2041.8756739297296,35-44 years,35-44,-0.0797377299645494,2918337.4615373546,24915.024180793596,-23835.910020844345,-25316.434394780455,-480.50319803925635,Missouri_35-44 years,NULL_TIMESTAMP,1.4372460499313375,-0.122991403334688,23,,1.0621131885730983,2692,0.1085545761395175,3,pending,
3985,F,,Missouri,29.0,,2016.0,45-54 years,,0.0,,,353.91,391.74,9.65,Missouri_45-54 years,,-0.4921778883383786,0.2434380885673794,-46,,1.1068915826057473,5079,-0.0142517430633025,1,sync,1492.0
3986,,,Missouri,29.0,2016.0,2016.0,55-64 years,55-64,0.01,421630.0,763.47,737.09,,13.46,Missouri_55-64 years,1970-01-01 00:00:00.000002016,1.0198458104686563,-0.3911942963657365,-47,425003.04,,6612,0.1424159707461725,1,pending,3219.0
3987,F,F,Missouri,29.0,,,65-74 years,65-74,0.01,,,1613.9,1706.36,23.59,Missouri_65-74 years,,1.2235882842355867,0.3980657671810184,29,,1.0572897949067477,5034,-0.0412563938582349,3,sync,4954.0
3988,F,F,,29.0,2016.0,,75-84 years,75-84,0.02,164215.0,,4223.03,,51.31,Missouri_75-84 years,NULL_TIMESTAMP,0.777261903116062,-0.2849419560781711,30,165528.72,,8427,0.0563680736490461,2,pending,7100.0
3989,F,F,Missouri,121.43281059153604,2041.8756739297296,1990.1243260702704,85+ years,85+,-0.0497377299645494,err_213,,36939.94002084435,38936.524394780456,612.1531980392563,Missouri_85+ years,1970-01-01 00:00:00.000002041,-0.1598586461479697,-0.1428642895560767,-1,,1.054049475251164,2018,-0.0828615926276662,1,sync,-19671.990927079107
3990,F,F,Missouri,29.0,2017.0,,< 1 year,1,0.0,,585.69,506.48,664.91,40.42,Missouri_< 1 year,1970-01-01 00:00:00.000002017,-1.2944732657955875,0.3411641255771898,-6,,1.312806033801927,9240,0.0800085936267541,4,async,
3991,F,F,Missouri,29.0,2017.0,,1-4 years,,0.0,,26.56,18.89,36.31,4.25,Missouri_1-4 years,1970-01-01 00:00:00.000002017,-1.5289833267228057,0.1659720330978519,28,,1.922181048173637,1123,0.0839678006667148,4,async,
3992,,F,Missouri,29.0,,2017.0,5-14 years,5-14,0.0,,,10.3,,1.91,Missouri_5-14 years,,1.0579311645749778,-0.0121941797494471,30,,,9868,-0.0932130925221596,4,pending,
3993,F,F,Missouri,29.0,2017.0,,15-24 years,15-24,0.0,393496.0,56.93,49.47,,3.8,Missouri_15-24 years,1970-01-01 00:00:00.000002017,0.8480098817452357,-0.3382803598369663,-9,396840.716,,4572,-0.1091134444886396,1,pending,224.0
3994,F,F,Missouri,121.43281059153604,1991.1243260702704,,25-34 years,25-34,-0.0797377299645494,2959742.4615373546,24835.964180793595,-23910.900020844347,25603.684394780455,492.1031980392563,Missouri_25-34 years,1970-01-01 00:00:00.000001991,1.0148551044865213,0.7946608437307217,42,2946607.6070350646,-1.0707955105186515,9878,0.0372503163530699,1,async,-30461.990927079107
3995,F,F,Missouri,29.0,,,35-44 years,35-44,0.0,369556.0,165.6,152.48,,6.69,Missouri_35-44 years,,-0.6350220284076522,0.8505818960167542,-20,,,8001,0.0622611270209485,1,pending,
3996,F,F,Missouri,29.0,2017.0,2017.0,,45-54,0.0,391192.0,,334.9,372.17,9.51,Missouri_45-54 years,NULL_TIMESTAMP,2.083103940024726,1.2087423481127433,4,394517.132,1.1112869513287549,7164,0.1506814949525878,4,sync,1383.0
3997,F,F,Missouri,121.43281059153604,,,55-64 years,55-64,0.0897377299645494,2976877.4615373546,,24755.450020844342,,500.94319803925634,Missouri_55-64 years,,-0.3965506331197575,0.6868403952056407,7,,,6570,0.0037294895042221,2,async,-27485.990927079107
3998,F,F,Missouri,29.0,2017.0,2017.0,65-74 years,65-74,0.01,309027.0,1712.8,1666.65,1758.94,23.54,Missouri_65-74 years,1970-01-01 00:00:00.000002017,0.7854718003030808,-0.1772292536384558,-6,311653.72949999996,1.0553745537455377,8479,0.1180327349182368,3,pending,5293.0
3999,F,F,Missouri,-63.432810591536054,1991.1243260702704,,75-84 years,75-84,0.0997377299645494,,-20396.134180793597,28241.760020844347,29948.364394780452,538.1731980392564,Missouri_75-84 years,1970-01-01 00:00:00.000001991,-1.2081232280031,-0.1443256352064383,-36,,1.060428400095338,2126,0.0316415465307876,4,sync,-23527.990927079107
4000,F,F,Missouri,29.0,,,85+ years,85+,0.03,85396.0,13224.27,12980.37,13468.18,124.44,Missouri_85+ years,,-0.6983518574528159,0.3005661658638118,11,,1.0375805928490482,2910,0.0032295056807643,1,sync,11293.0
4001,,F,Missouri,29.0,2018.0,2018.0,< 1 year,1,0.0,35270.0,612.42,530.75,,41.67,Missouri_< 1 year,1970-01-01 00:00:00.000002018,0.1303780403557879,-0.3322152394495613,-11,35587.42999999999,,7746,-0.1132070550784998,2,pending,216.0
4002,F,F,Missouri,29.0,2018.0,2018.0,1-4 years,1-4,0.0,146525.0,,18.35,35.6,4.21,Missouri_1-4 years,1970-01-01 00:00:00.000002018,-2.1738113141670543,-0.5527731148844779,46,147843.72499999998,1.9400544959128063,4908,0.0123003370189001,4,async,
4003,F,F,Missouri,29.0,2018.0,2018.0,5-14 years,5-14,0.0,376318.0,12.76,9.4,,1.84,Missouri_5-14 years,1970-01-01 00:00:00.000002018,-1.5887190052430602,0.3261533760250369,-17,379704.862,,3338,0.0807331226275408,1,pending,
4004,F,F,Missouri,29.0,2018.0,,15-24 years,15-24,0.0,390653.0,55.8,48.4,63.21,3.78,Missouri_15-24 years,1970-01-01 00:00:00.000002018,1.4967835287262845,0.3103233032848966,0,394168.877,1.3059917355371902,6048,0.0522724898014595,1,pending,218.0
4005,F,F,Missouri,29.0,2018.0,,25-34 years,25-34,0.0,409330.0,109.94,99.78,,5.18,Missouri_25-34 years,NULL_TIMESTAMP,0.00283650182086,0.6165700576593888,37,413013.97,,2835,-0.0842209149588424,2,async,
4006,F,F,,29.0,2018.0,,35-44 years,35-44,0.0,374193.0,180.12,166.52,193.72,6.94,Missouri_35-44 years,NULL_TIMESTAMP,0.2839850222276294,-0.9649400613149548,5,377560.737,1.163343742493394,5929,0.0484774218388832,4,pending,674.0
4007,F,F,Missouri,29.0,2018.0,2018.0,45-54 years,45-54,0.0,381304.0,371.62,352.27,390.97,9.87,Missouri_45-54 years,1970-01-01 00:00:00.000002018,-0.7923116800676493,-0.1025178341739741,-27,384735.736,1.1098589150367617,6208,-0.1202936188274488,4,pending,1417.0
4008,F,F,Missouri,29.0,,2018.0,55-64 years,55-64,0.01,428414.0,801.33,774.52,828.13,13.68,Missouri_55-64 years,,1.1590237960276235,-0.867088679115908,24,,1.0692170634715694,8435,-0.0219466899632599,2,async,3433.0
4009,F,F,Missouri,29.0,2018.0,2018.0,65-74 years,65-74,0.01,316153.0,,1623.16,1713.2,22.97,Missouri_65-74 years,1970-01-01 00:00:00.000002018,-0.1050144162042889,-0.4297623909124561,-23,318998.377,1.0554720421893098,3781,0.1753355116743152,3,sync,
4010,F,F,Missouri,29.0,2018.0,,,75-84,0.02,174445.0,,4157.84,,49.39,Missouri_75-84 years,1970-01-01 00:00:00.000002018,0.4261428046637397,0.5314449638890743,-1,176015.00499999998,,8799,0.0554743186651403,4,async,7422.0
4011,F,F,Missouri,29.0,,2018.0,85+ years,85+,0.03,err_571,13421.96,13177.5,13666.41,124.72,Missouri_85+ years,,-1.1810246880079711,0.122203933385131,33,,1.0371018782014798,5745,-0.0566782333429619,3,pending,11581.0
4012,F,F,Missouri,29.0,2019.0,2019.0,< 1 year,1,0.0,,527.88,451.4,,39.02,Missouri_< 1 year,1970-01-01 00:00:00.000002019,1.8098652219187252,-0.039522923436564,1,,,6237,-0.0773835631162761,4,async,
4013,,,Missouri,29.0,2019.0,2019.0,1-4 years,1-4,0.0,144831.0,,19.15,36.81,4.31,Missouri_1-4 years,1970-01-01 00:00:00.000002019,0.6256873313546409,-0.4328084427324519,37,146206.8945,1.922193211488251,5298,-0.1597991323386854,2,sync,39.0
4014,F,F,Missouri,29.0,,2019.0,5-14 years,5-14,0.0,376046.0,,9.41,16.92,1.84,Missouri_5-14 years,,0.6552094485470024,0.297952540060954,12,,1.7980871413390012,1225,-0.0152170452175939,3,async,48.0
4015,F,F,Missouri,29.0,,2019.0,15-24 years,15-24,0.0,388321.0,53.05,45.8,60.29,3.7,Missouri_15-24 years,,1.5378840042718287,-0.3664387508034328,-8,,1.3163755458515285,2729,-0.1828765440256415,2,sync,206.0
4016,,F,Missouri,29.0,,2019.0,,25-34,0.0,err_412,99.27,89.63,,4.92,Missouri_25-34 years,,-0.734649829306246,0.624098538499447,9,,,2671,-0.0587761417396538,3,sync,407.0
4017,F,F,Missouri,29.0,,2019.0,35-44 years,35-44,0.0,378722.0,,157.93,,6.72,Missouri_35-44 years,,0.732078214925227,-0.2352755038170705,37,,,3488,-0.0613915780303892,2,async,648.0
4018,F,F,Missouri,29.0,,,45-54 years,45-54,0.0,err_323,352.38,333.3,371.47,9.74,Missouri_45-54 years,,-0.2143374328186613,0.1977131232827871,-30,,1.1145214521452145,3836,-0.0380526712747487,2,sync,1310.0
4019,F,F,Missouri,29.0,,2019.0,55-64 years,55-64,0.01,428750.0,,756.72,809.7,13.52,Missouri_55-64 years,,0.1531718523747358,0.3848046991605683,-49,,1.0700126863304789,2535,0.0308402870641631,2,sync,3358.0
4020,,F,Missouri,29.0,,,65-74 years,65-74,0.01,325644.0,1636.14,1592.21,,22.42,Missouri_65-74 years,,1.8866231075945732,-1.321555470391489,1,,,3304,-0.0164267930884276,2,pending,5328.0
4021,F,F,Missouri,29.0,,,75-84 years,75-84,0.02,,4138.93,4044.73,,48.06,Missouri_75-84 years,,-0.4793182953066596,-0.6013803312269105,-20,,,2350,0.1383860317315007,1,pending,7417.0
4022,F,,Missouri,29.0,,2019.0,85+ years,85+,0.03,86837.0,,12544.77,,121.33,Missouri_85+ years,,-1.0318354450967069,0.2186557850126212,17,,,5351,-0.0484873726238739,3,async,
4023,F,,Missouri,29.0,2020.0,,< 1 year,1,0.0,35027.0,511.03,436.17,585.9,38.2,Missouri_< 1 year,1970-01-01 00:00:00.000002020,-0.4151287294724562,-0.0197518263237874,-30,35377.27,1.343283582089552,3381,0.0122393294155653,2,async,
4024,F,,Missouri,29.0,2020.0,,1-4 years,1-4,0.0,144232.0,,18.06,35.36,4.22,Missouri_1-4 years,1970-01-01 00:00:00.000002020,0.0879574535264644,0.2285654094203266,-32,145674.32,1.9579180509413068,4588,-0.1237864353313414,3,async,37.0
4025,,F,Missouri,29.0,2020.0,,,5-14,0.0,375500.0,,8.06,,1.73,Missouri_5-14 years,1970-01-01 00:00:00.000002020,-0.0934515058338756,0.9080013114169684,-45,379255.0,,9023,-0.0124183880110804,1,pending,
4026,,F,,29.0,,,,15-24,0.0,388084.0,62.1,54.26,,4.0,Missouri_15-24 years,,0.9582917655343672,-0.3380755030597531,6,,,9250,0.1016877276142895,1,sync,241.0
4027,F,F,Missouri,29.0,,2020.0,25-34 years,25-34,0.0,409527.0,119.89,109.29,130.5,5.41,Missouri_25-34 years,,0.2048918271859523,-0.2199335447139229,36,,1.1940708207521271,3839,0.0376218412462726,2,sync,491.0
4028,F,F,,121.43281059153604,,1994.1243260702704,35-44 years,35-44,0.0797377299645494,-2167584.4615373546,24948.224180793597,24184.950020844342,,-480.0331980392563,Missouri_35-44 years,,-0.6902815905635461,-0.69608127839227,-47,,,6634,-0.0783901052449043,2,sync,31626.990927079107
4029,F,F,Missouri,-63.432810591536054,,1994.1243260702704,45-54 years,45-54,-0.0797377299645494,2916403.4615373546,,24374.440020844348,-25080.424394780453,497.8131980392563,Missouri_45-54 years,,0.6412408879167678,0.1466656518405197,9,,-1.0289641269022949,9486,0.0606789713812585,2,sync,-29376.990927079107
4030,F,,Missouri,-63.432810591536054,1994.1243260702704,1994.1243260702704,55-64 years,55-64,-0.0697377299645494,2977505.4615373546,-23837.694180793595,-23117.310020844347,-24567.524394780456,501.9131980392563,Missouri_55-64 years,1970-01-01 00:00:00.000001994,0.1754946357727711,-0.4733080872421925,-24,2968758.0359293637,1.062732834080976,9996,-0.0631951130398907,3,pending,-26978.990927079107
4031,F,F,,29.0,2020.0,2020.0,,65-74,0.02,336554.0,,1867.36,1960.85,23.85,Missouri_65-74 years,1970-01-01 00:00:00.000002020,-0.866111785202101,-0.520134919704215,-46,339919.54,1.0500653328763605,5926,0.0236490735466874,1,sync,6442.0
4032,F,,Missouri,29.0,,2020.0,75-84 years,75-84,0.02,182921.0,,4674.06,4874.32,51.09,Missouri_75-84 years,,0.5029828189279506,0.5380095853200104,-13,,1.042844978455561,5110,-0.0626307238177535,2,pending,8733.0
4033,F,F,Missouri,29.0,2020.0,,85+ years,85+,0.03,86675.0,15101.24,14842.53,15359.95,132.0,Missouri_85+ years,1970-01-01 00:00:00.000002020,-0.019592788141655,0.5597714007458505,8,87541.75,1.0348606335981805,2171,-0.0360374010745486,2,pending,13089.0
4034,F,F,Montana,30.0,2006.0,2006.0,< 1 year,1,0.0,5761.0,572.82,394.3,,99.71,Montana_< 1 year,1970-01-01 00:00:00.000002006,-1.1120761009787523,0.5558594634466913,31,5778.282999999999,,4769,0.0600409198412242,4,pending,
4035,,F,Montana,30.0,2006.0,,15-24 years,15-24,0.0,68100.0,63.14,45.7,85.05,9.63,Montana_15-24 years,NULL_TIMESTAMP,-0.2156100537567492,-0.705500742297966,-33,68304.29999999999,1.861050328227571,4436,-0.0621243607306549,3,pending,43.0
4036,F,,Montana,30.0,,,25-34 years,25-34,0.0,52091.0,61.43,42.02,,10.86,Montana_25-34 years,,-0.5012967972791174,0.922752632178945,42,,,2407,0.0519277726135109,2,pending,32.0
4037,F,F,,30.0,,2006.0,35-44 years,35-44,0.0,60598.0,,110.57,171.62,15.12,Montana_35-44 years,,-0.1338261244064767,0.1313638789774465,8,,1.5521389165234694,2505,-0.1327663083178152,3,async,
4038,F,,Montana,30.0,2006.0,2006.0,45-54 years,45-54,0.0,77085.0,272.43,235.58,,18.8,Montana_45-54 years,1970-01-01 00:00:00.000002006,0.2851322504562462,-0.4815518418992306,30,77316.25499999999,,5756,-0.1292806862790486,3,async,210.0
4039,F,F,Montana,30.0,,,55-64 years,55-64,0.0,57554.0,,583.97,715.68,33.6,Montana_55-64 years,,-0.0163157194728223,-0.1255027444400945,12,,1.225542408000411,7612,0.0654010494270359,2,async,
4040,F,F,Montana,122.43281059153604,1980.1243260702704,,65-74 years,65-74,-0.0797377299645494,err_357,,-22536.100020844347,,554.5231980392564,Montana_65-74 years,1970-01-01 00:00:00.000001980,-0.9037806732911392,-0.9197644995143648,-8,,,7202,-0.0739232266967323,1,sync,-30280.990927079107
4041,F,F,Montana,30.0,,,75-84 years,75-84,0.0,err_469,4435.98,4177.21,,132.02,Montana_75-84 years,,1.5176487274034058,0.3064327242090947,-50,,,6100,0.0986053852035295,4,pending,1129.0
4042,F,F,Montana,30.0,,2006.0,85+ years,85+,0.0,12087.0,13981.96,13315.34,,340.11,Montana_85+ years,,-0.2799426100767028,0.0986571814796377,-38,,,5085,0.1899057870308808,4,pending,
4043,F,F,Montana,30.0,,2007.0,< 1 year,1,0.0,,593.47,415.66,821.61,98.91,Montana_< 1 year,,0.5622251670646794,0.0154697200733386,-41,,1.9766395611798104,1332,0.1192447642019437,4,pending,
4044,F,F,,30.0,,2007.0,15-24 years,15-24,0.0,66916.0,70.24,51.61,93.4,10.25,Montana_15-24 years,,1.3290331876085966,0.5630229838360358,-44,,1.8097267971323387,2512,0.0812550413357907,4,sync,47.0
4045,F,F,Montana,30.0,2007.0,2007.0,25-34 years,,0.0,54448.0,84.48,61.85,,12.46,Montana_25-34 years,1970-01-01 00:00:00.000002007,0.0369858926131872,0.8104170379685129,-30,54638.56800000001,,2217,0.088335588758769,4,pending,
4046,F,F,Montana,30.0,,,,35-44,0.0,59584.0,159.44,129.0,,16.36,Montana_35-44 years,NULL_TIMESTAMP,-0.2540832858014146,0.1985326369621339,20,,,7194,-0.0592096413890746,4,pending,95.0
4047,F,F,Montana,122.43281059153604,,2032.8756739297296,45-54 years,45-54,-0.0797377299645494,2628540.4615373546,-24410.42418079359,-23702.090020844345,,-466.6231980392563,Montana_45-54 years,,0.1115698648124828,0.8436967504035312,-48,,,5950,-0.0525958584349184,4,pending,-30582.990927079107
4048,F,F,Montana,30.0,2007.0,,55-64 years,55-64,0.0,60700.0,,544.32,,31.6,Montana_55-64 years,1970-01-01 00:00:00.000002007,0.2745608474152241,0.0581859609932428,-6,60912.45,,9310,-0.0718611662595399,1,pending,
4049,F,F,Montana,30.0,,2007.0,65-74 years,65-74,0.0,36295.0,,1483.82,1745.27,66.7,Montana_65-74 years,,0.8444645791487747,-0.2535641196094497,-18,,1.1762006173255517,4013,0.1519346091800492,2,sync,
4050,F,F,Montana,30.0,,2007.0,75-84 years,75-84,0.0,25452.0,,4096.96,4609.63,130.78,Montana_75-84 years,,1.5653974336928558,0.5174747303329026,42,,1.125134245879872,7902,0.0154587355558085,1,pending,1108.0
4051,F,F,Montana,30.0,,,85+ years,,0.0,12314.0,13764.82,13109.52,14420.12,334.34,Montana_85+ years,,-0.2112532289144436,-0.2656285302648673,-3,,1.0999731492838791,8702,-0.0920188772549931,4,async,1695.0
4052,F,F,Montana,122.43281059153604,,,< 1 year,1,-0.0797377299645494,-2545014.4615373546,25492.614180793596,-23447.690020844348,26504.344394780455,-375.63319803925634,Montana_< 1 year,,-2.6074128095040208,-0.4465813377667073,18,,-1.1303605758698971,6015,0.0049038100302822,4,pending,30885.990927079107
4053,F,,Montana,30.0,2008.0,,15-24 years,15-24,0.0,66509.0,45.11,30.43,64.39,8.24,Montana_15-24 years,1970-01-01 00:00:00.000002008,1.0139616482972498,0.3308583569991193,-22,66775.03600000001,2.1160039434768323,6481,0.1566206492321802,4,sync,
4054,,F,Montana,30.0,,,25-34 years,25-34,0.0,56501.0,,62.64,112.64,12.26,Montana_25-34 years,NULL_TIMESTAMP,-1.2300439053748708,-0.0871442172070589,35,,1.7982120051085568,2415,-0.2775168937810878,1,pending,
4055,F,F,Montana,30.0,2008.0,2008.0,35-44 years,35-44,0.0,,,120.01,,16.06,Montana_35-44 years,1970-01-01 00:00:00.000002008,1.8861063029623488,-0.4792823197636971,-25,,,7045,-0.1700203555893828,2,sync,
4056,F,F,Montana,30.0,2008.0,2008.0,45-54 years,45-54,0.0,,277.7,240.58,,18.94,Montana_45-54 years,1970-01-01 00:00:00.000002008,1.1069625588733358,0.0365752911207112,11,,,8382,-0.1281342485871394,4,async,215.0
4057,,F,,30.0,2008.0,2008.0,55-64 years,55-64,0.0,63370.0,,563.35,686.45,31.4,Montana_55-64 years,1970-01-01 00:00:00.000002008,-1.137955474171884,-0.3390008997689523,-11,63623.48,1.2185142451406763,9628,-0.0714827930889356,3,async,396.0
4058,F,F,Montana,-62.432810591536054,1982.1243260702704,,65-74 years,65-74,0.0797377299645494,-2512905.4615373546,-23124.404180793594,-22503.200020844342,,-422.1731980392563,Montana_65-74 years,1970-01-01 00:00:00.000001982,-0.4524276545657513,-0.4436175929297348,30,-2490445.5222140155,,5404,-0.081340753493765,2,sync,
4059,F,F,,30.0,,2008.0,,75-84,0.0,25327.0,,4098.02,,131.13,Montana_75-84 years,,0.3974449188765252,0.1845008196828389,-7,,,1718,0.0135897094606624,3,pending,
4060,F,F,Montana,30.0,2008.0,,,85+,0.0,,14516.64,13850.25,15183.03,340.0,Montana_85+ years,1970-01-01 00:00:00.000002008,1.718307966104371,-0.0268605618479704,33,,1.0962278659229978,2663,0.0435977795783822,4,async,1823.0
4061,F,F,Montana,30.0,2009.0,,,,0.0,6068.0,593.28,415.52,821.34,98.88,Montana_< 1 year,1970-01-01 00:00:00.000002009,-0.1136682816287161,-0.0879000862464355,-10,6095.306,1.97665575664228,3992,0.0694226893691789,2,pending,36.0
4062,F,F,Montana,30.0,2009.0,2009.0,15-24 years,15-24,0.0,65286.0,70.46,51.59,93.98,10.39,Montana_15-24 years,1970-01-01 00:00:00.000002009,-0.5807226252741414,-0.0149315606855715,47,65579.787,1.8216708664469856,8834,0.0418484233767936,2,async,
4063,F,F,Montana,30.0,2009.0,2009.0,25-34 years,25-34,0.0,err_692,97.76,74.05,126.66,12.95,Montana_25-34 years,1970-01-01 00:00:00.000002009,-0.2914743590203674,-0.1155985994097264,6,,1.7104659014179608,7874,0.0483682339698053,4,async,
4064,F,F,,-62.432810591536054,,,35-44 years,35-44,0.0797377299645494,,24908.344180793596,24127.550020844345,,504.4631980392563,Montana_35-44 years,,-2.1940214356746592,-0.3974685929055798,-42,,,9851,-0.0018907684422839,2,async,-30747.990927079107
4065,F,F,Montana,-62.432810591536054,,1983.1243260702704,45-54 years,45-54,-0.0797377299645494,2627894.4615373546,25059.33418079359,-23717.940020844348,25857.464394780454,-467.0631980392563,Montana_45-54 years,,1.2373128893240424,-0.5866191950188817,-9,,-1.090207006681685,8375,-0.0438327449252514,2,pending,-30597.990927079107
4066,F,,Montana,30.0,,2009.0,,55-64,0.0,66474.0,606.25,547.06,,30.2,Montana_55-64 years,,1.269453654869186,1.0154500143150718,43,,,5249,0.2201720590615375,2,pending,403.0
4067,F,,,30.0,2009.0,2009.0,65-74 years,65-74,0.0,err_709,1567.28,1443.91,1690.65,62.94,Montana_65-74 years,1970-01-01 00:00:00.000002009,-0.1879310939356359,0.6467909136432574,-15,,1.1708832267939138,7006,-0.0220062594044216,4,pending,620.0
4068,F,F,,30.0,2009.0,,75-84 years,75-84,0.0,25109.0,,3952.0,4459.33,129.42,Montana_75-84 years,1970-01-01 00:00:00.000002009,1.5607510831107867,-0.5260919075771564,-38,25221.9905,1.128372975708502,4118,-0.0117597396947982,4,pending,1056.0
4069,F,F,Montana,30.0,2009.0,2009.0,85+ years,85+,0.0,12849.0,13401.82,12768.82,14034.82,322.96,Montana_85+ years,NULL_TIMESTAMP,-1.7550070181721358,-0.6026096904113035,-49,12906.8205,1.0991477677655417,8364,-0.0400117582296397,1,pending,
4070,F,F,Montana,30.0,2010.0,,< 1 year,1,0.0,err_222,537.18,367.43,758.34,94.96,Montana_< 1 year,1970-01-01 00:00:00.000002010,0.3272195533725202,0.0213513253941679,20,,2.063903328525161,3899,0.2181718818701052,1,pending,32.0
4071,F,F,,30.0,,2010.0,15-24 years,15-24,0.0,64408.0,65.21,47.0,88.14,10.06,Montana_15-24 years,,0.8555256204047668,0.3115072004227265,-12,,1.8753191489361705,9089,-0.0280011155467969,4,async,42.0
4072,F,F,Montana,30.0,,2010.0,,25-34,0.0,59520.0,,55.15,101.17,11.27,Montana_25-34 years,,0.819487118464162,-0.0623119361539324,49,,1.8344514959202176,5984,-0.0363484878108896,2,pending,
4073,F,,Montana,30.0,2010.0,,35-44 years,,0.0,err_419,,115.4,,16.15,Montana_35-44 years,1970-01-01 00:00:00.000002010,1.3232729458599,-0.939283623914276,-29,,,9303,-0.0750434152994987,1,pending,81.0
4074,F,,Montana,122.43281059153604,2035.8756739297296,1984.1243260702704,45-54 years,45-54,0.0797377299645494,-2475168.4615373546,-24425.504180793596,-23716.680020844346,-25143.784394780458,507.8131980392563,Montana_45-54 years,1970-01-01 00:00:00.000002035,-0.8757916689377647,0.2547098641248677,-48,-2519567.6298609865,1.0601730247522774,2713,-0.1551837149112025,3,sync,
4075,F,F,Montana,122.43281059153604,1984.1243260702704,2035.8756739297296,55-64 years,55-64,-0.0797377299645494,,-24180.094180793596,24501.400020844347,-24882.444394780458,515.9331980392564,Montana_55-64 years,1970-01-01 00:00:00.000001984,-0.2609003037844991,-0.399109234896485,47,,-1.0155519428935464,6423,0.134685043422408,1,pending,-30452.990927079107
